PWA,Offline PWA,Native App
3.12,2.05,2.9
3.47,3.59,2.852
3.63,3.47,2.854
3.7,3.35,2.906
3.38,3.49,2.903
3.6,2.91,2.935
3.3,3.07,2.837
4.17,3.57,2.877
3.45,3.16,2.825
3.54,4.61,2.877
3.45,3.53,2.8
3.44,3.03,2.825
3.43,3.02,2.826
3.38,3.29,2.827
3.44,3.48,2.902
3.25,3.28,2.875
3.34,3.29,2.851
3.31,3.13,2.907
3.43,3.31,2.927
3.38,3.5,2.876
3.4,3.35,2.624
3.19,3.35,2.596
3.58,3.19,2.826
3.58,3.17,2.814
3.06,3.21,2.903
3.02,3.369,2.829
3.19,3.07,2.848
3.11,3.02,2.826
2.94,3.5,2.775
3.13,3.39,2.952
